,Agricultural Demand|Crops,Agricultural Demand|Crops|Energy,Agricultural Demand|Livestock,Agricultural Production|Crops|Energy,Agricultural Production|Crops|Non-Energy,Agricultural Production|Livestock,Capacity|Electricity,Capacity|Electricity|Biomass,Capacity|Electricity|Coal,Capacity|Electricity|Gas,Capacity|Electricity|Geothermal,Capacity|Electricity|Hydro,Capacity|Electricity|Nuclear,Capacity|Electricity|Oil,Capacity|Electricity|Solar,Capacity|Electricity|Solar|PV,Capacity|Electricity|Wind,Capacity|Electricity|Wind|Onshore,Consumption,Emissions|BC,Emissions|CH4,Emissions|CH4|Land Use,Emissions|CO,Emissions|CO2,Emissions|CO2|Fossil Fuels and Industry,Emissions|CO2|Land Use,Emissions|F-Gases,Emissions|Kyoto Gases,Emissions|N2O,Emissions|N2O|Land Use,Emissions|NH3,Emissions|NOx,Emissions|OC,Emissions|Sulfur,Emissions|VOC,Final Energy,Final Energy|Electricity,Final Energy|Gases,Final Energy|Heat,Final Energy|Industry,Final Energy|Liquids,Final Energy|Residential and Commercial,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Coal,Final Energy|Transportation,GDP|PPP,Land Cover|Built-up Area,Land Cover|Cropland,Land Cover|Forest,Land Cover|Pasture,Population,Primary Energy,Primary Energy|Biomass,Primary Energy|Biomass|w/o CCS,Primary Energy|Coal,Primary Energy|Coal|w/o CCS,Primary Energy|Fossil,Primary Energy|Fossil|w/o CCS,Primary Energy|Gas,Primary Energy|Gas|w/o CCS,Primary Energy|Geothermal,Primary Energy|Hydro,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear,Primary Energy|Oil,Primary Energy|Oil|w/o CCS,Primary Energy|Other,Primary Energy|Secondary Energy Trade,Primary Energy|Solar,Primary Energy|Wind,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/o CCS,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Geothermal,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Nuclear,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Wind,Secondary Energy|Gases,Secondary Energy|Gases|Natural Gas,Secondary Energy|Heat,Secondary Energy|Heat|Geothermal,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,Secondary Energy|Liquids|Oil
2005,614.9205000000001,0.0,92.7071,0.0,1037.8725,97.5993,1916.5168,48.5658,704.0272000000001,317.5566999999999,4.2794,375.3309,362.4028,71.1784,1.0911,1.0911,32.0849,32.0849,26300.0613,1.3532000000000002,71.6535,29.8165,148.8656,13280.7596,13023.0145,257.745,362.6185,16268.058899999998,2796.4468,1576.2691,12.4649,36.85849999999999,3.8169,30.7665,39.258,152.83870000000002,31.5526,32.32770000000001,2.2219,52.0812,74.8561,54.9939,11.6946,5.3316,6.3629,45.76370000000001,31628.8041,26.093,469.1089,993.4079,747.5500999999999,1082.6538,201.2718,8.0831,8.0831,45.784600000000005,45.784600000000005,179.9615,179.9615,49.7863,49.7863,0.1071,4.7347,5.219200000000001,8.0078,84.3906,84.3906,0.0347,-4.9953,0.0086,0.3339,36.1824,1.0721,1.0721,13.3218,13.3218,7.010300000000001,7.010300000000001,0.0944,4.7347,5.206400000000001,8.0003,1.5713,0.0086,0.3339,32.363800000000005,32.363800000000005,3.4921,0.0127,79.9958,0.0,79.9958
2010,744.8549999999999,126.3941,95.5453,0.0,1130.6328,101.50409999999998,2132.9081,48.1892,823.8363,341.3724,4.3586,409.2557,384.1661,78.35159999999999,4.603400000000001,4.603400000000001,38.7751,38.7751,27490.2795,1.1002999999999998,74.0056,31.0379,117.8853,13896.9249,13367.4862,529.4385,487.4210000000001,17099.134700000002,2901.5022000000004,1661.9723,12.7625,28.585500000000007,3.4988,21.9333,34.5128,153.67010000000002,35.1617,31.9592,2.436500000000001,51.5288,73.7968,56.6072,10.0748,4.7662,5.3089,45.5343,33226.6457,26.093,475.4951,987.943,746.3886,1114.9695,206.2362,8.0836,8.0836,50.2966,50.2966,183.9126,183.9126,50.3532,50.3532,0.1086999999999999,5.162599999999999,5.7456,8.4944,83.2625,83.2625,0.0343,-5.3349,0.0363,0.4034999999999999,40.132200000000005,1.0638,1.0638,15.5888,15.5888,7.5361,7.5361,0.0962,5.162599999999999,5.7331,8.4807,1.7296999999999998,0.0363,0.4034999999999999,32.0021,32.0021,3.7463,0.0125,79.292,0.305,78.98700000000001
2020,975.5077,318.0291,103.6662,12.192,1325.7103,111.7647,2554.973,53.50260000000001,1108.8986,417.3607,5.2183,442.1368,371.262,98.5184,9.800400000000002,9.800400000000002,48.274800000000006,48.274800000000006,34568.8329,0.8132,81.2407,34.2958,105.1571,15945.0505,15287.8124,657.2379,723.3525999999999,19654.6205,3205.3627,1865.3326,13.375,22.9615,2.9886,16.9419,30.967,169.26289999999997,42.684900000000006,35.357899999999994,2.8252,53.792,79.5882,64.861,8.4231,4.1175,4.3057,50.6097,42195.9883,26.093,495.3775,971.6206,746.2509,1188.9999,232.6622,8.594,8.594,62.1905,62.1905,209.34220000000005,209.34220000000005,57.1625,57.1625,0.1301999999999999,5.5775,6.3253,8.4006,89.9892,89.9892,0.038,-6.0173,0.0771,0.5023000000000001,48.0585,1.1812000000000002,1.1812000000000002,20.9827,20.9827,9.2136,9.2136,0.1152,5.5775,6.3103,8.1959,2.1749,0.0771,0.5023000000000001,35.403,35.403,4.7092,0.015,86.7231,0.7521,85.9706
2030,1359.5968000000005,674.169,114.0567,29.4659,1591.7039000000002,124.3879,3047.9935000000005,60.1279,1440.4124000000002,509.1804000000001,6.029,459.4263,375.0358,125.5318,17.612,17.612,54.6382,54.6382,45608.653600000005,0.5497,90.2708,38.2881,95.2236,18543.7324,17920.9678,622.7644999999999,778.5146000000002,22651.7345,3599.7299000000003,2124.3957,14.2069,16.5214,2.5646000000000004,11.165500000000002,27.4982,193.3734,51.55499999999999,40.035,3.3021,57.3629,90.5012,76.56590000000001,7.4513,3.6433,3.8079,59.4446,56135.05439999999,26.093,518.6745,953.7489,745.3646,1277.1656,269.6952,9.9846,9.9846,75.99199999999999,75.99199999999999,244.38360000000003,244.38360000000003,66.0703,66.0703,0.151,5.795599999999999,6.6958,8.631099999999998,102.3211,102.3211,0.0419,-6.9436,0.1388,0.5686999999999999,57.5522,1.3274,1.3274,27.2556,27.2556,11.2405,11.2405,0.1333,5.795599999999999,6.6781,8.279200000000001,2.7712000000000003,0.1388,0.5686999999999999,40.0833,40.0833,5.8243,0.0177,100.726,1.5143000000000002,99.21179999999998
2040,1970.6827,1305.3822,125.1982,81.1131,1884.5548,137.7315,3799.8401,76.0182,1944.4703,596.7193,6.9205000000000005,492.453,427.715,164.42030000000003,29.4111,29.4111,61.7125,61.7125,60357.7825,0.5161,100.4464,42.4786,96.6834,22051.681,21455.5981,596.0828000000001,852.5065999999999,26620.2665,4043.3429,2403.4775000000004,15.0936,16.4138,2.3421000000000003,10.0126,27.7105,225.3469,64.6644,44.43039999999999,3.9695,63.4479,104.7265,91.5989,6.8937,3.2385,3.6552,70.3001,74664.7779,26.093,541.6826000000001,936.178,746.2955,1367.562,320.01249999999993,12.599299999999998,12.599299999999998,97.03539999999998,97.03539999999998,290.2166,290.2166,74.6712,74.6712,0.1718,6.2122,7.3045,9.8921,118.51,118.51,0.0465,-8.561399999999999,0.2318,0.6422,72.002,1.6784,1.6784,36.7935,36.7935,13.1731,13.1731,0.1528,6.2122,7.2854,9.4421,3.6297,0.2318,0.6422,44.5073,44.5073,7.052899999999999,0.0191,118.8493,2.6291,116.2202
2050,3178.7241,2671.4653,137.2223,254.40870000000004,2214.1145,151.5978,4786.2751,129.2508,2567.6165,673.7294999999999,8.0804,556.1253,540.1861,200.4497,44.7664,44.7664,66.07029999999999,66.07029999999999,77475.6816,0.475,111.376,46.89769999999999,97.6086,25561.462,24926.9684,634.4935999999999,942.5555,30629.6353,4500.719700000001,2707.4480000000003,16.0057,15.7498,2.1074,8.439799999999998,27.7974,256.0478,81.68979999999999,47.9557,4.882199999999999,68.598,114.3526,107.3232,6.400200000000001,2.8359,3.5644,80.12659999999998,96075.2958,26.093,569.3841,915.3774,746.1417000000001,1463.6911999999998,371.4931,17.9219,17.9219,121.4658,121.4658,332.7383,332.7383,81.94590000000001,81.94590000000001,0.199,7.0154000000000005,8.306000000000001,12.526699999999998,129.3266,129.3266,0.0511999999999999,-10.7214,0.353,0.6876,90.947,2.8534,2.8534,48.5849,48.5849,14.8731,14.8731,0.1783,7.0154000000000005,8.2854,11.9251,4.4251000000000005,0.353,0.6876,48.07090000000001,48.07090000000001,8.431899999999999,0.0206,133.4955,4.1877,129.3079
2060,4743.143500000001,4466.9308,150.1813,502.4497999999999,2562.0748,166.121,5848.8635,204.8753,3294.3389,725.2346,9.7037,581.0717,674.1213,225.45720000000003,54.8552,54.8552,79.20559999999999,79.20559999999999,98181.9348,0.4549,123.0554,51.5877,96.4828,29973.712700000004,29162.7862,810.9264,1049.7572,35589.8135,4999.8722,3028.9658,16.893,16.1191,1.9839,8.5439,25.2644,290.6984,100.0791,53.475100000000005,5.8774,74.5214,124.4248,124.8079,5.996699999999999,2.4642,3.5324,91.3692,121835.1655,26.093,608.2932,886.3297,745.4104,1564.4877999999997,433.2937,24.9311,24.9311,153.7391,153.7391,383.8166,383.8166,90.0692,90.0692,0.238,7.330100000000001,8.8816,15.6644,140.00820000000002,140.00820000000002,0.0566,-13.1468,0.4323999999999999,0.8243000000000001,111.5854,4.5227,4.5227,62.336,62.336,16.009999999999998,16.009999999999998,0.2140999999999999,7.330100000000001,8.8577,14.8819,4.9771,0.4323999999999999,0.8243000000000001,53.5926,53.5926,9.8395,0.0239,148.5611,6.0267,142.5344
2070,6714.4888,6768.122,162.83950000000002,826.1024,2926.5033000000003,180.06220000000002,7179.1175,301.4621,4242.63,791.9685,11.7447,586.0381,836.4191000000001,246.42490000000004,66.5539,66.5539,95.8762,95.8762,124005.3409,0.4311,134.7445,56.1156,93.8862,34908.37320000001,34159.8762,748.4969,1170.3512,41091.685300000005,5517.9443,3348.5622,17.7598,16.375400000000003,1.8663,8.5619,22.2055,328.8815,123.3304,60.1208,7.0955,81.149,131.7421,144.3209,5.6848,2.1339,3.5511000000000004,103.4116,153878.30610000002,26.093,646.1072999999999,858.4168999999999,745.4688,1656.5350999999998,505.2843,34.0427,34.0427,195.60780000000003,195.60780000000003,442.5059,442.5059,100.0469,100.0469,0.2882,7.3927,9.266,19.4696,146.851,146.851,0.0624,-16.2462,0.5247999999999999,0.9979,137.5597,6.6551,6.6551,80.27969999999999,80.27969999999999,17.4833,17.4833,0.2593,7.3927,9.2369,18.4646,5.44,0.5247999999999999,0.9979,60.2726,60.2726,11.666900000000002,0.0289,160.18529999999998,8.3824,151.80289999999997
2080,9016.6166,9489.036499999998,174.5556,1207.4985,3296.7604,192.7561,8788.9913,411.619,5414.1033,870.0017,14.2352,589.3728,1033.3533000000002,259.3261,80.76509999999999,80.76509999999999,116.2144,116.2144,154867.5076,0.4033,145.73170000000002,60.23,88.48,40376.94440000001,39757.2399,619.7043000000001,1264.8049999999998,47082.2345,6030.8433,3651.3994,18.5534,16.3845,1.7529,8.4644,18.5371,368.7627,151.47699999999998,67.45009999999999,8.5196,87.80640000000001,134.9874,165.145,5.3821,1.8307,3.5514,115.8112,191985.5648,26.093,680.9691,832.8257000000001,745.7903,1735.2986,585.0489000000001,44.943,44.943,247.0025,247.0025,506.3373,506.3373,111.1435,111.1435,0.3495999999999999,7.4348,9.6996,24.0691,148.1912,148.1912,0.069,-19.9908,0.6367999999999999,1.2095000000000002,168.9405,9.086899999999998,9.086899999999998,102.4464,102.4464,19.206,19.206,0.3143,7.4348,9.6644,22.8121,5.724800000000001,0.6367999999999999,1.2095000000000002,67.65119999999999,67.65119999999999,13.814000000000002,0.0353,166.1388,11.2868,154.852
2090,11274.1672,12175.3748,184.6748,1518.7535,3693.6351,203.3534,10771.4883,488.2983,6941.2544,963.8369,17.2637,593.8841,1273.9328,247.0898,100.5132,100.5132,145.4151,145.4151,190708.7907,0.3692999999999999,156.32170000000002,63.5373,78.3449,46417.69009999999,45939.3358,478.3541000000001,1325.1061000000002,53592.1065,6514.3101,3928.1376,19.2765,16.0632,1.639,8.2759,14.2875,404.4072,186.0563,74.6637,10.1678,92.6589,127.5004,185.8423,5.0543,1.5497999999999998,3.5045999999999995,125.9061,236166.332,26.093,708.3788,812.8164999999999,745.5452,1794.4833,669.2544,56.7417,56.7417,313.7062,313.7062,572.545,572.545,123.0043,123.0043,0.4238,7.491700000000001,10.2975,29.6703,135.8347,135.8347,0.0762,-24.4725,0.7924999999999999,1.5132,207.233,10.7796,10.7796,131.3434,131.3434,21.2775,21.2775,0.3812,7.491700000000001,10.2549,28.1232,5.454600000000001,0.7924999999999999,1.5132,74.8863,74.8863,16.4888,0.0427,164.6818,15.4528,149.22910000000002
