,Agricultural Demand|Crops,Agricultural Demand|Crops|Energy,Agricultural Demand|Livestock,Agricultural Production|Crops|Energy,Agricultural Production|Crops|Non-Energy,Agricultural Production|Livestock,Capacity|Electricity,Capacity|Electricity|Biomass,Capacity|Electricity|Coal,Capacity|Electricity|Gas,Capacity|Electricity|Geothermal,Capacity|Electricity|Nuclear,Capacity|Electricity|Oil,Capacity|Electricity|Other,Capacity|Electricity|Solar,Capacity|Electricity|Wind,Emissions|BC,Emissions|CH4,Emissions|CH4|Fossil Fuels and Industry,Emissions|CH4|Land Use,Emissions|CO,Emissions|CO2,Emissions|CO2|Carbon Capture and Storage,Emissions|CO2|Carbon Capture and Storage|Biomass,Emissions|CO2|Fossil Fuels and Industry,Emissions|CO2|Land Use,Emissions|F-Gases,Emissions|Kyoto Gases,Emissions|N2O,Emissions|N2O|Land Use,Emissions|NH3,Emissions|NOx,Emissions|OC,Emissions|Sulfur,Emissions|VOC,Energy Service|Transportation|Freight,Energy Service|Transportation|Passenger,Final Energy,Final Energy|Electricity,Final Energy|Gases,Final Energy|Heat,Final Energy|Hydrogen,Final Energy|Industry,Final Energy|Liquids,Final Energy|Residential and Commercial,Final Energy|Solids,Final Energy|Solids|Biomass,Final Energy|Solids|Biomass|Traditional,Final Energy|Solids|Coal,Final Energy|Transportation,GDP|PPP,Land Cover|Built-up Area,Land Cover|Cropland,Land Cover|Forest,Land Cover|Pasture,Population,Price|Carbon,Primary Energy,Primary Energy|Biomass,Primary Energy|Biomass|Traditional,Primary Energy|Biomass|w/ CCS,Primary Energy|Biomass|w/o CCS,Primary Energy|Coal,Primary Energy|Coal|w/ CCS,Primary Energy|Coal|w/o CCS,Primary Energy|Fossil,Primary Energy|Fossil|w/ CCS,Primary Energy|Fossil|w/o CCS,Primary Energy|Gas,Primary Energy|Gas|w/ CCS,Primary Energy|Gas|w/o CCS,Primary Energy|Geothermal,Primary Energy|Hydro,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear,Primary Energy|Oil,Primary Energy|Oil|w/ CCS,Primary Energy|Oil|w/o CCS,Primary Energy|Solar,Primary Energy|Wind,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,Secondary Energy|Electricity|Biomass|w/o CCS,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Geothermal,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Nuclear,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Wind,Secondary Energy|Gases,Secondary Energy|Gases|Biomass,Secondary Energy|Gases|Coal,Secondary Energy|Gases|Natural Gas,Secondary Energy|Hydrogen,Secondary Energy|Hydrogen|Biomass,Secondary Energy|Hydrogen|Biomass|w/ CCS,Secondary Energy|Hydrogen|Biomass|w/o CCS,Secondary Energy|Hydrogen|Electricity,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,Secondary Energy|Liquids|Biomass|w/ CCS,Secondary Energy|Liquids|Biomass|w/o CCS,Secondary Energy|Liquids|Coal,Secondary Energy|Liquids|Coal|w/ CCS,Secondary Energy|Liquids|Coal|w/o CCS,Secondary Energy|Liquids|Gas,Secondary Energy|Liquids|Gas|w/ CCS,Secondary Energy|Liquids|Gas|w/o CCS,Secondary Energy|Liquids|Oil,Secondary Energy|Solids
2005,,,,,,80.42333313473941,,,,,,,,,,,,,44.894816709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,832.620598094914,616.6653147761896,76.889920282275,0.0,1073.274468683865,82.20025774077006,1722.6418010397506,20.84021990740745,507.9847238077113,366.93493467782855,5.247218654870622,285.37799481368705,249.46170725520065,0.0,17.56206971858067,72.89366121258246,1.2217305550900002,74.247177938,44.125317651,30.121860872,108.020350456,11562.911354249783,880.1477300000004,0.0,12518.371088167118,-955.459733917334,517.07167322395,15888.699006756957,3219.284315,1946.840776,13.262948384,31.205788175,4.3184518268000005,22.30135941,31.876162214,10979.038750999998,22053.058385,161.775826646,32.770315441,34.304534882,1.5932503,0.0,58.204374441,77.871468365,50.686928619,15.236257658,6.472174228,0.0,8.76408343,52.884523586,34912.24377703218,34.27873939,443.34555138,1201.3941694600005,720.41626346,1170.675,0.0,204.61440537,9.485613,0.0,0.0,9.485613,44.0227181,0.0,44.0227181,180.86503051,0.0,180.86503051,54.557403,0.0,54.557403,0.13238103,4.9534042,6.16404946,8.099712400000001,82.28490941,0.0,82.28490941,0.11277894,0.96548529,36.98385095,0.549717132,0.0,0.549717132,13.15352513,0.0,13.15352513,8.204065658,0.0,8.204065658,0.13238103,4.9534042,6.16404986,8.099712400000001,0.81278077,0.1127793399999999,0.96548529,54.91536984,0.71612936,0.09072748,54.108513,0.0,0.0,0.0,0.0,0.0,79.912428912,0.00945963,0.0,0.00945963,0.0207611,0.0,0.0207611,0.03683445,0.0,0.03683445,78.16955599999999,15.5029772
2020,899.5221352909364,650.4613152081325,82.94789218418826,260.0604937714285,1130.1167276223323,88.25828400076749,2107.822665694039,20.97338169076611,665.0322242833578,449.06097558346016,27.951651049594112,350.4650663791651,40.87356283295279,0.0,84.91193106976414,271.34942788488667,0.96914915132,85.09924588999999,54.384453614,30.714792103,85.790792829,13887.130514055703,1012.58289,0.0,14405.658464278044,-518.5279502223334,846.68821213875,18453.638805258757,3265.429921,1887.008746,14.148720433,25.04536645,3.7501271530999993,17.309103263,29.174806148,13395.98842,25692.482927,181.903543984,43.0585153,38.850454273,1.693200664,0.169613144,64.906005271,83.12794380099999,60.106557203,15.003816802,6.045540595,0.0,8.958276207,56.89098151,44308.72573920355,34.27873939,449.8091844805,1208.118643174,714.69534534,1241.0680000000002,0.0,237.739889938,11.233362,0.0,0.0,11.233362,57.6914522,0.0,57.6914522,206.3031703,0.0,206.3031703,65.774208,0.0,65.774208,0.705186614,4.9752315000000005,10.256317938,9.9470397,82.8375101,0.0,82.8375101,0.725124792,3.850775032000001,48.639990539,0.5469252,0.0,0.5469252,17.075319651,0.0,17.075319651,10.646446962,0.0,10.646446962,0.705186614,4.9752315000000005,10.256317938,9.9470397,0.1679410879999999,0.725124792,3.850775032000001,63.17802435,0.64651995,0.2268354,62.304669,0.169615143,0.00575106,0.0,0.00575106,0.0171515829999999,83.60114431299999,1.39169531,0.0,1.39169531,1.6329610000000003,0.0,1.6329610000000003,1.7539612299999998,0.0,1.7539612299999998,78.616578,15.403458
2030,979.1187214748164,796.9334161729964,90.00975639933884,421.0405377714288,1228.0589499148882,95.3199925303284,2621.4990846608634,28.677387271689447,775.9884444365164,561.4762701674279,42.74861753234399,433.1371106742207,35.46214068841957,0.0,118.46648462459036,426.8881391591114,0.70271900535,102.91612139,69.82407844900001,33.092042926,67.331423145,16101.097438269804,1188.8496766666665,0.0,17075.680749861804,-974.5833115920002,1193.03067558539,22083.531992261727,3591.310629,2046.9741113,15.349459601000005,17.207387775,3.3231422753999995,12.168554355,28.450891908,16972.08171,30499.691151000006,209.010987437,53.116661502,46.32082702800001,1.88302013,0.519607369,73.94212984,91.83946551,72.104029129,15.331405898,5.727936449,0.0,9.603469449,62.964828468,59022.23577957844,34.27873939,452.5951121515001,1212.92180398,711.43088917,1326.494,0.0,283.361281698,13.795348,0.0,0.0,13.795348,76.819957,0.0,76.819957,243.959128,0.0,243.959128,88.37813,0.0,88.37813,1.078496322,5.0118144,13.313334968,12.29347073,78.761041,0.0,78.761041,1.030345852,6.192678393999998,59.769308462,0.737059468,0.0,0.737059468,19.824058147,0.0,19.824058147,13.44561069,0.0,13.44561069,1.078496322,5.0118144,13.313334967,12.29347073,0.1557744599999999,1.030345851,6.192678393999998,76.01532097,0.65808071,0.4790432599999999,74.878197,0.5196075330000001,0.01593798,0.0,0.01593798,0.048366973,92.295358883,2.61056806,0.0,2.61056806,7.17780695,0.0,7.17780695,7.5072087,0.0,7.5072087,74.792709,15.9046477
2040,1057.886931337807,901.2636838518764,96.90846958839876,575.5348597142865,1274.927823122847,102.2186850209741,3178.171352787126,39.46921565829535,898.0478377489219,697.9943130073565,49.20824573503296,530.7003604346351,41.55071676021053,0.0,163.60466845833298,555.3258275566359,0.6156556903629999,119.077846737,83.626676532,35.45116863672,62.03973525999999,19139.544361212,1379.1768833333342,0.0,19750.820619662,-611.2762584500002,1323.33504766935,25381.581693247048,3835.433929,2126.85383047,16.197265507,16.022554702,3.09653012747,11.970657446,31.133939945,21441.29104,35522.66298,237.403423472,64.14869900900001,52.093021041,1.96117708,0.995978269,83.029463496,102.307397842,83.623448269,15.897150230999998,5.618779557,0.0,10.278370674,70.750511707,78716.70637608426,34.27873939,458.6256708545,1214.06275152,707.65110099,1414.895,0.0,327.665871722,15.620966,0.0,0.0,15.620966,94.045877,0.0,94.045877,281.071739,0.0,281.071739,106.59106,0.0,106.59106,1.24146499,5.1030336,15.910616812,15.06254991,80.43480199999999,0.0,80.43480199999999,1.510250304,8.055867918,71.955983157,1.00440251,0.0,1.00440251,22.825464726,0.0,22.825464726,16.949954531,0.0,16.949954531,1.24146499,5.1030336,15.910616811,15.06254991,0.202994669,1.5102503029999998,8.055867918,87.67319751,0.82582216,1.05731735,85.79005799999999,0.9959777,0.0295950499999999,0.0,0.0295950499999999,0.08907752,102.888375314,3.18071821,0.0,3.18071821,11.65766734,0.0,11.65766734,11.324141824999998,0.0,11.324141824999998,76.5195498,16.6573993
2050,1141.8873108600174,979.6317160132191,104.29314059556852,678.2637989142861,1317.2729021354364,109.60350781632933,3664.39645936506,52.79236154712072,1061.19322552004,853.9270876141545,52.17327526477671,625.5217479846664,42.97963319698125,0.0,215.8861473920594,551.8711075893004,0.56909330217,129.24416604799998,91.291458943,37.95270730749,62.077216513,21854.66412910733,1584.1233466666674,0.0,22378.72802209733,-524.06389299,1447.57991306474,28466.53333890508,4042.29978,2184.92875371,17.047339433,15.480792865,2.9330940744,11.626221341,34.787544706,26296.5929,40415.71582,263.29040538999993,74.97974681899998,55.890937555,1.93412644,1.6042934990000002,92.144317088,112.438451087,93.038752906,16.44284999,5.652021387,0.0,10.790828603,78.107335396,101587.49407831609,34.27873939,456.8925632269,1217.869332301,706.6525888599999,1509.014,0.0,367.498414053,16.986776,0.0,0.0,16.986776,110.874017,0.0,110.874017,316.01819800000004,0.0,316.01819800000004,119.41038,0.0,119.41038,1.316269127,5.2488991,16.739631593,17.753808460000002,85.733801,0.0,85.733801,1.99467402,8.179789346,83.909252264,1.336295403,0.0,1.336295403,26.863422886,0.0,26.863422886,20.98313598,0.0,20.98313598,1.316269127,5.2488991,16.739631593,17.753808460000002,0.232957942,1.99467402,8.179789346,97.7006945,1.0854146,2.2290599,94.38622,1.604293433,0.04774655,0.0,0.04774655,0.140552253,113.095776129,3.330627413,0.0,3.330627413,14.81455673,0.0,14.81455673,12.959360561,0.0,12.959360561,81.7779615,17.3610359
2060,1227.3251783600613,1071.8571957196373,111.98749178968892,742.3711696571436,1391.6416445196514,117.29787522235378,4118.388232486135,67.05689866343222,1243.6303218147518,915.93799530695,53.23587102834856,709.1588047522405,45.43515062151187,0.0,327.71590165787427,542.3836699195621,0.56330829596,128.29774153699998,87.68871052099999,40.60903089242,63.23247060000001,25186.02787529801,1815.109633333333,0.0,25339.088335656743,-153.06046035866666,1572.77015536216,31618.07021938614,4281.104646,2255.41466643,18.079153515,15.647032049999998,2.8793386659,11.774548366,35.983820836,31906.22126,45332.64321,291.186022176,84.358420465,60.261837004,1.89204093,2.125382658,102.319106717,125.34433836,101.264191577,17.204002759,5.796005572,0.0,11.407997187,87.60272388199999,128734.86727461652,34.27873939,466.9007614495,1214.036617781,703.78387636,1607.64,0.0,409.38923340200006,18.608912,0.0,0.0,18.608912,131.803141,0.0,131.803141,352.689621,0.0,352.689621,128.35769,0.0,128.35769,1.343077143,5.3947656,17.963071542,20.12762886,92.52879,0.0,92.52879,3.01501532,8.210213479,94.116024001,1.693656749,0.0,1.693656749,31.415543099000004,0.0,31.415543099000004,22.660517463,0.0,22.660517463,1.343077143,5.3947656,17.963071542,20.12762886,0.255606288,3.01501532,8.210213479,103.93640401,1.25372431,4.0786397,98.60404,2.125381935,0.06019676,0.0,0.06019676,0.174952555,126.062038876,3.618554557,0.0,3.618554557,18.99187649,0.0,18.99187649,14.52443465,0.0,14.52443465,88.72682940000001,18.232117700000003
2070,1307.3332806643325,1079.1909265208262,119.17236339159558,737.6277205142852,1447.4402986849288,124.4829832238409,4542.027124992528,83.68229345034246,1451.890279085806,959.5888778221708,53.63491204496455,790.4680418146465,52.40775807806948,0.0,429.5662482775549,501.1737862416493,0.55557945448,139.68403591700002,96.621319004,43.062717633320005,64.411581492,27907.1114415243,2067.52326,0.0,28070.05845178333,-162.94701025900008,1690.6217500294,34828.587304122426,4478.640588,2278.36844511,18.947282592,15.689474015999998,2.837639111737,11.653692107999998,38.173866213,38649.8106,49981.15754,319.405156794,93.199799145,65.167306462,1.81399697,2.71302823,113.207235124,138.84354867300002,107.82679926,17.667477314,5.953549962,0.0,11.713927352,98.37112241,162334.53905813012,34.27873939,466.7922878234999,1214.35985363,704.08616981,1697.119,0.0,446.977468533,18.741984,0.0,0.0,18.741984,146.54449499999998,0.0,146.54449499999998,387.379194,0.0,387.379194,134.06636,0.0,134.06636,1.353144469,5.540621100000001,18.420910383,22.43538015,106.768339,0.0,106.768339,3.940736883,7.586407931,103.752033175,2.111203845,0.0,2.111203845,36.629449473,0.0,36.629449473,23.852856716,0.0,23.852856716,1.353144469,5.540621100000001,18.420910383,22.43538015,0.3022326079999999,3.940736883,7.586407931,109.74282545,1.16461495,5.8484405,102.72977,2.713027561,0.07341059,0.0,0.07341059,0.213971921,139.666244706,3.248842829,0.0,3.248842829,19.757826,0.0,19.757826,13.6543426,0.0,13.6543426,102.8112377,18.729924500000003
2080,1377.13827749113,1082.098041913655,125.42468551146058,712.0716091999999,1492.1344392377505,130.7352920198664,4932.819940220338,98.0464661418696,1610.464445990297,1070.0057185755954,54.58579555904359,826.1114983229045,75.25722293569255,0.0,492.5908272922601,480.3615692205344,0.5445749874410001,155.987987729,110.82497359100002,45.16301397022001,65.269936868,30152.41011286384,2323.842326666667,0.0,30263.769570648525,-111.35945778466674,1794.38063879593,37590.55638588764,4613.178344,2265.13133375,19.653557026,15.304367815,2.795348026547,11.174939551,44.427019938,46184.9302,54028.60859999999,344.47753447699995,101.302819729,68.627231375,1.6979135600000002,3.317510927,123.642468534,151.57927803,111.74209538,17.952780856,6.077438911,0.0,11.875341945,109.092970563,201827.35057986176,34.27873939,463.76716705420006,1215.240471354,705.58196634,1772.7490000000005,0.0,478.083209807,18.798581,0.0,0.0,18.798581,155.758604,0.0,155.758604,416.783822,0.0,416.783822,139.24068,0.0,139.24068,1.377134119,5.686480600000001,19.053779817,23.44702699,121.784538,0.0,121.784538,4.567310699,7.422854399,112.696250683,2.473594685,0.0,2.473594685,40.630085415,0.0,40.630085415,26.664463174,0.0,26.664463174,1.377134119,5.686480600000001,19.053779817,23.44702699,0.427300602,4.567310699,7.422854399,116.68861777,1.00972777,8.43956,107.23933,3.317511635,0.0894426999999999,0.0,0.0894426999999999,0.267992985,152.668134703,3.0036328770000003,0.0,3.0036328770000003,19.3830414,0.0,19.3830414,12.355055,0.0,12.355055,117.7401532,18.9795732
2090,1431.9317401513354,1095.3642195522764,130.29955740583787,694.5611250285712,1489.6536370899744,135.61047183364832,5231.806132111846,112.791302202245,1807.386952213344,1089.325603151953,55.0383727723871,817.8942929421053,85.33909650875188,0.0,541.399556619634,491.45241768138,0.531773114138,172.741611384,126.009304249,46.73230643611,66.415384838,32366.577364030836,2562.294130000003,0.0,32545.536762168435,-178.95939813766665,1874.49338082699,40402.639063710696,4671.529576000001,2187.43624438,19.991331257,14.820997845,2.766651904614,10.769913475,48.612131914,54451.32,57158.1231,364.727233601,107.387472532,70.055872941,1.57235454,3.929238842,132.553496125,163.422173741,112.930324016,18.360121005,6.245204439999999,0.0,12.114916565,119.24341346,247336.4116920882,34.27873939,454.8135214036,1218.187929812,709.04385011,1828.571,0.0,504.97326643,19.037429,0.0,0.0,19.037429,170.34063999999998,0.0,170.34063999999998,442.693901,0.0,442.693901,136.3994,0.0,136.3994,1.388552099,5.8323571,20.02813345,23.21380298,135.95386100000002,0.0,135.95386100000002,5.058002529,7.749221721999999,119.348805733,2.845589205,0.0,2.845589205,45.59820394,0.0,45.59820394,27.184550559,0.0,27.184550559,1.388552099,5.8323571,20.028133451,23.21380298,0.478525598,5.05800253,7.749221721999999,118.10323903,0.7954600300000001,13.372459,103.93532,3.929232141999999,0.10762553,0.0,0.10762553,0.3273465319999999,164.61535159599998,2.828287858,0.0,2.828287858,18.8151462,0.0,18.8151462,10.83775058,0.0,10.83775058,131.95691449999998,19.3737664
