,Capacity|Electricity,Capacity|Electricity|Biomass,Capacity|Electricity|Coal,Capacity|Electricity|Gas,Capacity|Electricity|Hydro,Capacity|Electricity|Nuclear,Capacity|Electricity|Oil,Capacity|Electricity|Other,Capacity|Electricity|Solar,Capacity|Electricity|Solar|CSP,Capacity|Electricity|Solar|PV,Capacity|Electricity|Wind,Capacity|Electricity|Wind|Offshore,Capacity|Electricity|Wind|Onshore,Consumption,Emissions|BC,Emissions|CH4,Emissions|CH4|Fossil Fuels and Industry,Emissions|CH4|Land Use,Emissions|CO,Emissions|CO2,Emissions|CO2|Carbon Capture and Storage,Emissions|CO2|Carbon Capture and Storage|Biomass,Emissions|CO2|Fossil Fuels and Industry,Emissions|CO2|Land Use,Emissions|F-Gases,Emissions|Kyoto Gases,Emissions|N2O,Emissions|N2O|Land Use,Emissions|NH3,Emissions|NOx,Emissions|OC,Emissions|Sulfur,Emissions|VOC,Energy Service|Transportation|Freight,Energy Service|Transportation|Passenger,Final Energy,Final Energy|Electricity,Final Energy|Gases,Final Energy|Liquids,Final Energy|Solar,Final Energy|Solids,Final Energy|Solids|Coal,Final Energy|Transportation,GDP|PPP,Population,Primary Energy,Primary Energy|Biomass,Primary Energy|Biomass|w/ CCS,Primary Energy|Biomass|w/o CCS,Primary Energy|Coal,Primary Energy|Coal|w/ CCS,Primary Energy|Coal|w/o CCS,Primary Energy|Fossil,Primary Energy|Fossil|w/ CCS,Primary Energy|Fossil|w/o CCS,Primary Energy|Gas,Primary Energy|Gas|w/ CCS,Primary Energy|Gas|w/o CCS,Primary Energy|Hydro,Primary Energy|Non-Biomass Renewables,Primary Energy|Nuclear,Primary Energy|Oil,Primary Energy|Oil|w/o CCS,Primary Energy|Other,Primary Energy|Solar,Primary Energy|Wind,Secondary Energy|Electricity,Secondary Energy|Electricity|Biomass,Secondary Energy|Electricity|Biomass|w/ CCS,Secondary Energy|Electricity|Biomass|w/o CCS,Secondary Energy|Electricity|Coal,Secondary Energy|Electricity|Coal|w/ CCS,Secondary Energy|Electricity|Coal|w/o CCS,Secondary Energy|Electricity|Gas,Secondary Energy|Electricity|Gas|w/ CCS,Secondary Energy|Electricity|Gas|w/o CCS,Secondary Energy|Electricity|Hydro,Secondary Energy|Electricity|Non-Biomass Renewables,Secondary Energy|Electricity|Nuclear,Secondary Energy|Electricity|Oil,Secondary Energy|Electricity|Solar,Secondary Energy|Electricity|Wind,Secondary Energy|Gases,Secondary Energy|Gases|Natural Gas,Secondary Energy|Liquids,Secondary Energy|Liquids|Biomass,Secondary Energy|Liquids|Biomass|w/o CCS,Secondary Energy|Liquids|Oil,Secondary Energy|Solids
2005,2339.1515,35.21,698.358,645.7239999999999,302.52,323.906,276.586,0.0005,3.9170000000000105,0.6590000000000006,3.2580000000000093,52.924999999999976,0.4049999999999995,52.51999999999999,23309.531243280613,1.4099206090695122,71.46324843697239,24.985349147605604,29.011058845325785,172.02718769303698,13432.030003530874,1.251828375477484,0.0317162170285714,13193.28015144237,238.7498520885102,352.0328323544909,16365.367035013447,2666.8556651133204,1586.8859965837291,15.525450010254,44.02324906842725,3.802469700433,34.937160361973,39.958780431355,4512.39685943904,15759.567483128632,134.40166773776008,36.92041716194764,27.1932967794181,59.13671307799443,0.0192352569479999,11.14790845536,,42.79554797642059,33447.57259745544,1078.21554,193.65811982504172,3.213573342774479,0.00036041155714285696,3.21321293121734,50.53165957684684,0.0003527052631758945,50.531306871583695,176.6161004042284,0.0243901452631759,176.59171025896518,48.8505343606342,0.02403744,48.8264969206342,4.770135359999999,5.133831674516,8.448470316000009,77.23390646674734,77.23390646674734,1.26e-05,0.0192352569479999,0.348626386368,36.92041716194764,0.711021830472,0.000100915236,0.7109209152360001,14.7006737928,0.000134028,14.7005397648,6.456825964159641,0.0110376,6.4457883641596405,4.770135359999999,5.133831674516,8.448470316,1.4695809840000085,0.0192352569479999,0.348626386368,33.99162097427258,33.99162097427258,73.92089134749305,0.8948520181801611,0.8948520181801611,31.12538867291934,13.688754081677178
2010,2599.569085644718,48.401836712197095,710.7759934755401,744.5072744377326,294.08942181032256,385.0493908068576,241.22135569564864,0.00044070409667968746,40.98508643097215,2.730086430972108,38.25500000000001,134.534,3.404,131.13,25429.724810948726,1.056691559852113,69.61683297265341,24.81621090619781,28.294582635307464,134.4111251655956,13505.67629295272,0.8187766326389083,0.0214618534509747,13298.500566042843,207.17572690986924,384.3973775772639,16341.22807502405,2385.0120140192057,1502.348848531309,16.226789912427776,34.88710588181518,3.35832118384921,25.54272421052714,33.49982740230468,4540.541805830575,16129.544651893511,138.35539566556233,40.44177331098111,29.72239007069382,57.028191228761344,0.1947689228279488,11.14790845536,11.14790845536,40.92805579003153,35084.33704191367,1115.751,197.57613394343335,4.053267563279856,0.0002438846983065316,4.053023678581647,51.30142404585561,0.0002855244275303143,51.30113852142807,177.4393381835493,0.0158980375712289,177.42344014597808,51.38269891216848,0.0156125131436986,51.367086399024856,4.637202003105165,5.742335008993365,10.087455592612312,74.75521522552509,74.7552152255252,1.110574323632815e-05,0.1947689228279488,0.929279832768,40.44177331098111,0.97762614458317,6.950713901736152e-05,0.9775566374441528,15.163481172451906,0.0001099269045922412,15.163371245547316,6.618019637091843,0.007345390993167,6.610674246098679,4.637202003105165,5.742335008993365,10.08745559261232,1.8528446495052395,0.1947689228279488,0.929279832768,37.1529875883672,37.1529875883672,71.28523903595172,0.9833464981801968,0.9833464981801968,30.361074819481964,13.681159079944582
2020,3189.2716932688527,58.09828360658821,741.0286489411246,1049.7154783166068,299.6142338902837,418.0290447942769,119.42709891477864,0.0003424255654874416,181.4780563240048,13.54270775856332,167.9353485654416,321.8763753526038,15.56161565437953,306.3147596982242,32038.76105981474,0.7775433010172139,94.69873934371536,43.04905934681316,35.84542905257878,111.82665669334858,14661.802057958044,0.0246591015018914,0.0121509697388714,14419.150535454062,242.65152250399845,577.4790841201241,18554.77642540941,3181.297985699142,2178.987000525858,17.754609830066617,27.87172279206458,2.626969734105631,19.63629551972216,26.87638611713444,5388.070488698823,19836.768806547832,159.14330490462865,46.144391483665046,37.30080912627483,63.38387796283954,0.9226111884194936,12.31422633184932,12.314226331849309,44.715377210379074,44593.08912970596,1189.716,220.5004781450976,3.675845717438031,0.00013807920157808494,3.675707638236561,52.55790059561005,0.0001457977847612989,52.55775479782527,197.1135556807892,0.00014579815466421155,197.11340988263456,62.19058562208873,3.6990291262135917e-10,62.19058562171882,4.724317239981989,8.483717173476945,10.971495005537468,82.36506946309026,82.36506946309026,8.6291242502835e-06,0.9226111884194936,2.836788745075451,46.144391483665046,1.1775812982434306,4.073336446553499e-05,1.177540564878965,15.834011509659486,5.75901249736032e-05,15.833953919534508,8.31260789420426,1.8e-10,8.31260789402426,4.724317239981989,8.483717173476945,10.971495005537468,1.3649699734192524,0.9226111884194936,2.836788745075451,46.62601140784354,46.62601140784354,79.22984745354948,0.1534320180721511,0.1534320180721511,34.524492991186186,15.136926976079913
2030,4101.4072181355805,58.0,739.5353356981877,1480.272469655087,320.5844736433794,486.3962083938121,65.25213931132589,0.0002661069165748785,362.3878741864988,27.04653367959167,335.3413405069068,587.0063586202641,29.718,557.2883586202641,42450.04969644196,0.4603703414000047,117.41643203710908,64.46097162785216,36.92479753287149,77.18707463542194,16311.523879246251,0.0490470724514571,0.0165939621987436,16075.039026175498,236.48485307074992,658.0514167041691,20931.11540288069,3443.386932894441,2295.576534180756,19.028552038741363,18.98459943543133,1.9656202203060529,13.54691888286632,20.74307691037233,6587.487882193266,25641.92302637744,184.82892989426907,55.518963061519486,44.80613253854696,70.90126743072062,2.009392599917153,13.602566863482,13.602566863482,52.08247103026082,59351.11944356948,1279.771,250.2372156042859,3.4906987584748075,0.0001885677522584508,3.4905101907226586,55.61220653628233,0.00037828158722195753,55.61182825469521,220.4975788731313,0.0003782819437933861,220.4972005911881,74.0335698868018,3.5657142857142863e-10,74.03356988644524,5.054975980408797,13.089876784818324,12.88592898913912,90.85180245004716,90.85180245004716,6.705894297686949e-06,2.009392599917153,6.02550820449237,55.518963061519486,1.1739119120716044,5.751316443882749e-05,1.1738543989071657,17.389539899981507,0.000153204042817603,17.389386695938693,9.961551280736742,1.8e-10,9.96155128055674,5.054975980408797,13.089876784818324,12.88592898913912,1.0181474888778934,2.009392599917153,6.02550820449237,56.00766567318357,56.00766567318357,88.62658428840084,0.2258443096123816,0.2258443096123816,36.57343360348112,16.73008308652453
2040,5405.590585071963,68.10238621395712,844.9126725982586,1997.085285750611,346.85192128730233,566.7024075629201,42.37002880370969,0.00020683199475691848,566.2871730218206,40.58464730402777,525.7025257177921,947.467434208356,34.7864037227743,912.6810304855816,56333.807930787545,0.4363821826349359,141.0685064695414,85.82875097195424,37.55852054481074,76.65143726244263,18704.72834501137,0.043245824329352,0.0159762269080741,18527.74162011431,176.9867248970548,710.0901667039644,24048.42261661056,3714.400815961896,2405.314019521364,20.642245161448923,17.66458073788315,1.7747460003426871,11.587382919264329,18.67329684505504,8031.569454978942,33270.44857775695,217.1478455525941,69.57490919191534,52.92969435141007,79.61754568948123,3.1484135758979988,15.02569631978751,15.02569631978751,59.74283367824477,78746.69773235876,1371.869,290.6339839016676,3.899088399464479,0.00018154803304629657,3.898906851431528,63.77746475761072,0.0003178612367220024,63.777146896374056,252.4529550154528,0.0003178615809347992,252.45263715387264,87.2475041786289,3.44212796549245e-10,87.24750417828474,5.469161094858187,18.867811981358948,15.105257454453202,101.42798607921353,101.42798607921353,5.21216626787435e-06,3.1484135758979988,10.250237310602754,69.57490919191534,1.428300720062682,5.718763040958329e-05,1.428243532432271,21.28041827590452,0.0001319124132321612,21.280286363491303,12.048333410336728,1.8e-10,12.04833341015673,5.469161094858187,18.867811981358948,15.105257454453202,0.8447821376329632,3.1484135758979988,10.250237310602754,66.16211793926266,66.16211793926266,99.52193211185146,0.1294596180721511,0.1294596180721511,39.9127590774047,18.473254560963028
2050,7022.699421805423,79.21573020022186,1016.1051309601744,2442.08431829019,373.2240815951003,647.5855489984644,30.76686433884676,0.000160791209928982,820.0613266432327,60.13990490179501,759.921421741437,1438.3931830472666,33.7682622478874,1404.62492079938,73022.22887644192,0.3668386530073154,140.7584440137423,83.66073079490161,37.68914352479423,71.79721584385311,21007.097911042736,0.0449105665663092,0.016015732585971,20862.470571324448,144.62733971829562,707.5083634107098,26395.68901250886,3899.737039301517,2494.230616712597,22.20677750731922,15.706605116877808,1.4726615175423086,10.56100462782789,18.18840716472701,9494.664789309714,41769.82517317151,248.25307978591135,86.24208703136523,60.192663595535215,85.22061255446386,4.583284701648192,16.597716604547,16.59771660454699,64.30274646520567,101096.49055245584,1469.842,329.9254098105737,4.97362047283469,0.0001819969612042162,4.973438475873599,74.74780045706666,0.0003368054183404996,74.74746365164833,281.1337650875673,0.000336805751062212,281.13342828181646,98.77195373740646,3.327217125382264e-10,98.77195373707362,5.884997318591541,26.15323120791745,17.31084718638325,107.61401089309454,107.61401089309454,4.05193849021035e-06,4.583284701648192,15.68494918767766,86.24208703136523,1.7084840336908438,5.91490123913703e-05,1.708424884678453,26.46851868089716,0.0001431423027870624,26.46837553859438,13.892101847378274,1.8e-10,13.892101847198273,5.884997318591541,26.15323120791745,17.310847186383242,0.7089000231599263,4.583284701648192,15.68494918767766,75.24082949441902,75.24082949441902,106.52576569307982,0.6221843867422032,0.6221843867422032,42.84000698713459,20.3932039517512
2060,8777.231557214353,86.34508078399361,1248.987225676216,2499.361253054677,397.2779953343705,737.3805116875259,23.764541537670038,0.000125026814074678,990.6347243229754,81.42331348507594,909.2114108378988,2074.816143925585,45.794074632173405,2029.0220692934129,93493.0937345569,0.3574145955882131,143.1234319625123,84.2636178719982,37.607856472131495,70.8807858713791,23538.67001904389,0.0401238266997884,0.0167461207764981,23397.52805602742,141.14196301651072,698.9066681428606,28997.71029560414,3966.603387095824,2546.13250856301,23.59432847174382,15.508895146196949,1.4222216052682688,9.908704862000388,17.37873013685651,11109.23362441583,50979.53873477421,275.9824730206226,105.01515540296948,65.29169772015584,87.34141490480965,5.717259113660289,18.33420499268755,18.33420499268754,67.67214255245064,127950.48094280572,1572.674,366.0037682468275,8.843467142102742,0.00019029682700566063,8.843276845275842,89.12407364837543,0.0002724963590510673,89.12380115201631,302.3186700107661,0.00027249668632379467,302.31839751408,106.7045443607795,3.2727272727272747e-10,106.70454436045236,6.264279430432358,34.695347956395715,19.73891159528557,106.49005200161103,106.49005200161103,3.15067571468189e-06,5.717259113660289,22.71380941230311,105.01515540296948,1.888270726433764,6.279795291186811e-05,1.888207928480852,33.047750831957,0.0001171734343842189,33.04763365852258,15.053953326204558,1.8e-10,15.053953326024557,6.264279430432358,34.695347956395715,19.738911595285565,0.5909178160170152,5.717259113660289,22.71380941230311,81.61462215019492,81.61462215019492,109.1767686310122,4.111905618000105,4.111905618000105,44.14203112585753,22.51038784925773
2070,10902.118204848512,86.65659294711148,1571.217999772767,1950.5441813610744,418.0954934897739,833.1361010102707,18.129296486438555,9.72423947629805e-05,1161.644370757232,116.05389356286474,1045.590477194367,2964.036795652906,74.1475374455328,2889.889258207373,118932.31227854275,0.3395978154661856,167.07111324904554,106.41428946028785,37.58353813655455,66.24481657836162,26531.595236628837,0.0522323822996449,0.0180737386408818,26451.92787754725,79.667359081565,688.5592720770169,32590.18006743355,4004.18700503895,2640.861951292078,24.846690312794117,15.32252461064418,1.3500180928874332,9.76142449817257,17.15283161462318,13108.574728792632,62266.19305011883,298.7925076825528,127.27933923205585,67.43260671622562,83.82819324752404,7.05765922454924,20.25236848674723,20.25236848674722,68.31400238654415,161336.28595038495,1666.547,397.1911765939349,8.856503285258004,0.0002053833936463849,8.85629790186446,108.88444333686792,0.00039816173979849824,108.88404517512808,319.594082672829,0.0003981620670712253,319.5936845107625,108.91060553655012,3.2727272727272747e-10,108.91060553622282,6.592529741346743,45.95157589928347,22.317530959377525,101.79903379941145,101.79903379941145,2.450508348027115e-06,7.05765922454924,32.30138693338759,127.27933923205585,1.896096886403169,6.777651990330691e-05,1.8960291098832651,41.8746106231103,0.00017120954810561438,41.87443941356222,14.771908284614614,1.8e-10,14.771908284434613,6.592529741346743,45.95157589928347,22.317530959377525,0.4676141287583304,7.05765922454924,32.30138693338759,84.290758395282,84.290758395282,104.7852415594052,4.111905618000105,4.111905618000105,43.661587508896105,24.84397928175539
2080,13864.433334023062,86.9051476750817,2047.4376021596363,1241.9864112050018,435.5402657288795,974.9826453451074,13.498001895633058,7.56549773015935e-05,1405.051371978366,158.45979071880458,1246.5915812595615,4194.788747845671,133.0614417810067,4061.727306064661,149669.27300771675,0.3113664802366763,187.52799254290372,125.3204328373336,37.43072235879997,60.331027363630014,29720.08393673573,0.0572411335161163,0.0197022102314064,29698.29633935907,21.787597376744408,683.8823214215325,36273.61151672204,3964.582030174988,2728.667150740632,25.45888050927198,15.03906323708794,1.2585343959654924,9.58026756095488,16.69124283702795,15494.282533200452,75157.56429282614,324.4203336680829,158.861802455244,68.14650011048707,75.0408167799105,8.877820505922045,22.37121432244163,22.37121432244163,65.45899556140986,201065.53445824192,1746.681,433.9291428238311,8.869545366863713,0.0002238887526296185,8.86932147811119,137.00579104776972,0.0004375631477882422,137.005353484622,337.3665038152543,0.0004375634750609717,337.3660662517786,109.81658106929451,3.2727272727272747e-10,109.8165810689673,6.867598910012974,60.95209037159821,26.126462773976783,90.54413169818962,90.54413169818962,1.906505428000155e-06,8.877820505922045,45.20667095566312,158.861802455244,1.902352458052988,7.3883288367774e-05,1.9022785747646205,54.74630475675709,0.0001881521535412044,54.74611660460353,14.780073558565196,1.8e-10,14.780073558385196,6.867598910012974,60.95209037159821,26.126462773976783,0.3545166297884323,8.877820505922045,45.20667095566312,85.18312513810872,85.18312513810872,93.8010209748881,4.111905618000105,4.111905618000105,42.79519395349804,27.34947931341938
2090,17760.98817422391,87.12026739436797,2548.1108011040424,791.2822281510189,449.85165704191945,1154.6895225840035,9.801291703282663,5.888020567480901e-05,1831.2712046383936,233.57706496630965,1597.6941396720858,5986.9945753118045,340.19175079394245,5646.802824517867,185440.7332746953,0.2736038553385106,185.6361159764056,122.20008443877768,37.18130173976592,53.13103991195128,31438.327758843778,0.0732723717207851,0.0216051903065571,31456.91356758528,-18.585808741454606,680.6049066660789,37911.80700163566,3865.675962132829,2813.136278274112,25.770341286250925,14.483705134634398,1.1344545619163586,9.160317633291946,16.01200316913946,18328.40267995858,89430.8617899344,351.0682395616479,196.72900750551185,68.7535534245723,60.87394031867836,12.040512674957364,24.711738312885068,24.71173831288506,57.11946496781506,246991.4395741936,1807.48,469.76169690474205,8.882061218332117,0.0002455135262108768,8.881815704806014,166.6638894530843,0.00060224575524846,166.66328720732895,346.6111519825305,0.00060224608252119,346.61054973644747,107.33814697675793,3.2727272727272747e-10,107.3381469764306,7.093260928236979,82.54937785386355,30.94735064980599,72.6091155526882,72.6091155526882,1.4837811830051852e-06,12.040512674957364,63.41560425066928,196.72900750551185,1.9077712808444405,8.101946364958921e-05,1.907690261380792,68.22696160516384,0.0002589656747490981,68.22670263948908,12.837723117479236,1.8e-10,12.837723117299236,7.093260928236979,82.54937785386355,30.94735064980599,0.2598215145736357,12.040512674957364,63.41560425066928,85.94194178071538,85.94194178071538,76.09242539834798,4.111905618000105,4.111905618000105,42.07413558764573,30.11791917467745
